Source,Speaker,Mic,SignalType,Band,EDT,RT20,RT30,RT60,C50,C80,D50,D80
omnipower,1,1,Sine,50,0.624127783969162,0.532066462025984,0.370453264099067,0.370453264099067,1.55740748232416,6.51473910961182,58.8703022886305,81.7585530050089
omnipower,1,1,Sine,63,4.11976509509957,1.992711594636,1.94119318179939,1.94119318179939,-1.73822789346676,0.186932221638973,40.1254254977509,51.0759022642118
omnipower,1,1,Sine,80,7.16347634519769,3.36390836577316,3.24711895246473,3.24711895246473,-4.44446958933089,-2.55945717280362,26.4370135274369,35.6787039199965
omnipower,1,1,Sine,100,1.61168517569195,6.55038374928578,6.15456047578143,6.15456047578143,-6.0754459189936,-3.28824276650941,19.7987051542867,31.9266247553178
omnipower,1,1,Sine,125,3.11602805181588,9.37636673177327,8.12049081974025,8.12049081974025,-8.55257461753781,-7.02044656460826,12.2463762369052,16.5685701262147
omnipower,1,1,Sine,160,2.65149637902466,9.34001925192793,10.0557719204951,10.0557719204951,-8.44362809294602,-6.20803535629548,12.5185281942237,19.3183932648648
omnipower,1,1,Sine,200,0.527351773483677,16.854266498186,13.8992593689669,13.8992593689669,3.96215665354827,7.94546945791322,71.3474730006985,86.17035762852
omnipower,1,1,Sine,250,2.65802869967432,10.4485305249828,14.474172948632,14.474172948632,-7.53994842796057,-5.35611304515555,14.9804235993846,22.5606011804479
omnipower,1,1,Sine,315,2.92617411754074,18.8346802335992,16.749615073455,16.749615073455,-6.85464669746165,-5.0073317110882,17.1030603447844,23.9945060785764
omnipower,1,1,Sine,400,0.411252483348911,24.8936395192723,20.945407020109,20.945407020109,7.4466009008896,9.81270774257647,84.7437562150549,90.5463371003408
omnipower,1,1,Sine,500,14.7840561870537,24.8399250966555,22.7688476596302,22.7688476596302,2.56353727002958,6.61811533614134,64.342853242583,82.1108733826023
omnipower,1,1,Sine,630,2.5675720893105,0.530233236123571,0.505540068251097,0.505540068251097,-10.5371187783155,-7.625782191218,8.11919399795085,14.7304424119979
omnipower,1,1,Sine,800,3.98371032173524,1.16429137377686,0.76679269843774,0.76679269843774,-4.87916359318913,-2.4149554259699,24.5368398688945,36.4458653946958
omnipower,1,1,Sine,1000,3.22209421420232,1.19336365509506,2.08957795417155,2.08957795417155,-7.82836783129296,-4.71974763317015,14.1541144184807,25.2228494915409
omnipower,1,1,Sine,1250,2.87162876911414,0.667995676437319,3.07298364784841,3.07298364784841,-7.6555929268812,-5.8911018142653,14.6444329282976,20.4813589167218
omnipower,1,1,Sine,1600,0.696220609197721,6.6648391677936,6.958360288972,6.958360288972,2.08092869800015,5.48502700348717,61.7547503280091,77.9537664741097
omnipower,1,1,Sine,2000,2.96232666968836,1.1366916069937,7.17071052438337,7.17071052438337,-7.53627378938761,-5.57298780574405,14.9912031840153,21.7001270589664
omnipower,1,1,Sine,2500,2.68839819912198,1.94823371015896,10.6085283496997,10.6085283496997,-9.38461577976965,-7.06237051461612,10.3318188404572,16.4355584037139
omnipower,1,1,Sine,3150,17.883051542831,15.8076227035368,14.6256729167079,14.6256729167079,1.96683939190622,3.94212889598103,61.1324119096118,71.2531067885608
omnipower,1,1,Sine,4000,3.12681196080706,17.1450742016982,15.7117076592682,15.7117076592682,-9.17743618775035,-7.31272050560783,10.7822112470421,15.6590812349844
omnipower,1,1,Sine,5000,8.47425901434053,21.9893461653318,19.7586721666557,19.7586721666557,6.32427724666136,8.25119893124942,81.095364593485,86.9881199382913
omnipower,1,1,Sine,6300,34.2780067995,12.3204149258102,11.6361384282658,11.6361384282658,-5.30167496037269,-2.84846327178139,22.7803475882901,34.1665064939837
omnipower,1,1,Sine,8000,1.10364614138578,0.248834037990243,0.235536977903583,0.235536977903583,-3.21019454633447,-0.29065420567984,32.3184660015417,48.3274841220035
omnipower,1,1,Sine,10000,3.05762952709398,1.10260550017979,1.06600709475804,1.06600709475804,-9.8394918773595,-7.27044889968291,9.40100321030475,15.7880604346804
omnipower,1,1,Sine,12500,6.94025200014314,1.59111781162682,1.51884061958992,1.51884061958992,-10.6585461915545,-9.52113635707652,7.91304261635669,10.0442038010346
omnipower,1,1,Sine,16000,0.806038541829309,0.409016943507131,0.371418608465427,0.371418608465427,-1.43823301342565,2.45626620385152,41.7957092940259,63.7741779796776
omnipower,1,1,Sine,20000,1.6065409178264,1.04005832773851,1.74020059259491,1.74020059259491,-4.12894448607569,-1.37151170018301,27.8739121942948,42.169911349722
omnipower,1,1,WhiteNoise,125,10.3024541307617,5.82160580787157,5.09080884436813,5.09080884436813,4.14965258859561,4.29344670828241,72.2218485535908,72.8811829011763
