Source,Speaker,SignalType,Band,GroupCount,mean_EDT,median_EDT,min_EDT,max_EDT,mean_RT20,median_RT20,min_RT20,max_RT20,mean_RT30,median_RT30,min_RT30,max_RT30,mean_RT60,median_RT60,min_RT60,max_RT60,mean_C50,median_C50,min_C50,max_C50,mean_C80,median_C80,min_C80,max_C80,mean_D50,median_D50,min_D50,max_D50,mean_D80,median_D80,min_D80,max_D80
omnipower,1,Sine,630,8,1.91864480416691,2.07079580128311,1.01022379337065,2.77792082894637,0.467807836747073,0.468557746313269,0.251595923728199,0.696817527961007,0.445762605044907,0.446732008263982,0.24314402300648,0.660895324917788,0.445762605044907,0.446732008263982,0.24314402300648,0.660895324917788,-6.94649408840644,-6.83817007351211,-10.5371187783155,-3.35302137799127,-4.01655025190598,-4.39042692599874,-7.625782191218,0.0642299714684014,18.2837502454718,17.2289387811247,8.11919399795085,31.6033287095453,29.8386266383299,26.7634499212482,14.7304424119979,50.3697306978483
omnipower,1,Sine,800,8,2.63214234356136,2.76943056153756,0.395783825891518,3.98371032173524,0.84678067492058,0.828817895052505,0.484666238008031,1.27823947237227,0.802235567083565,0.818402622015375,0.614234336230676,1.04477497082239,0.802235567083565,0.818402622015375,0.614234336230676,1.04477497082239,-5.7013012428254,-6.90155453464376,-9.9599332113298,6.10053293654801,-2.77520723639425,-4.68485308953412,-7.46467271633284,12.8792366636112,24.0224370064064,16.9624373475405,9.16744301099008,80.2928588305357,33.412079674863,25.4639214915909,15.2025227035758,95.0993479020358
omnipower,1,Sine,1000,8,1.89187141908146,1.99575899704188,0.320991883000948,3.22209421420232,1.60587385573729,1.13716714498279,0.592838286286513,3.30713766880245,2.07867111179033,2.24385483173774,0.749844817114495,2.93515670778464,2.07867111179033,2.24385483173774,0.749844817114495,2.93515670778464,-2.56301067035221,-3.44109774164396,-9.99802160643987,8.62550474878915,0.535578271489694,-1.33918724383889,-7.36372128210619,15.354519752499,38.9706944868526,33.1136920659401,9.09467460209774,87.9329486288949,49.2436179526916,43.2475201502852,15.5046112090373,97.1681391437977
omnipower,1,Sine,1250,8,2.07943010758056,2.30056037081678,0.422752340858674,3.61992921140854,2.05792806533706,1.03092575043091,0.515199214851418,5.85737503348168,3.76341048180795,3.48023713807089,3.00067492798518,5.26872655632782,3.76341048180795,3.48023713807089,3.00067492798518,5.26872655632782,-3.83428429653107,-7.14237523374634,-8.67222259131293,6.79641679765099,-1.1509781602054,-4.94318586870741,-7.48650474880177,9.60747442536155,33.2744377105956,16.2481212772922,11.9533728134672,82.706003864064,43.5046086198738,24.4891355632814,15.1378310129051,90.1339981343672
omnipower,1,Sine,1600,8,2.38806398499789,2.80363612019228,0.301314038727479,4.03416801725619,5.63560581113548,7.00530280398455,0.8263441230418,8.67481433958005,6.59187298679815,6.86498074660576,5.0719078590244,7.17965270928459,6.59187298679815,6.86498074660576,5.0719078590244,7.17965270928459,-3.44602622584625,-7.75859080570167,-9.57629336507123,9.78965931623055,-0.625369266093439,-5.89365713736408,-8.26571514835076,12.9461079438483,35.5417009112139,14.4903930329491,9.93003249237922,90.5008107872619,44.1738991211342,20.5650480775181,12.9740939556009,95.1706123276143
omnipower,1,Sine,2000,8,1.75579571951086,1.78490328610134,0.37878283376794,3.04389435759242,6.02199399031631,6.67263315807531,0.409576586305629,11.7624137448451,8.39989231120398,8.26525405062418,7.17071052438337,9.6443452832543,8.39989231120398,8.26525405062418,7.17071052438337,9.6443452832543,-3.34810355497775,-5.81980936228189,-10.0629137127949,8.10763021546452,-0.353631777363542,-2.9898926933038,-8.14948104732571,11.3852708083002,35.393456291049,21.2759062636976,8.97189402615395,86.6093473577303,46.6592378988067,34.0141764336389,13.2792864144415,93.2236035581814
omnipower,1,Sine,2500,8,2.76207704836204,2.64944800660989,0.831302198778823,5.04945005011699,6.46870102438298,4.61360205901973,0.741046054853891,13.5783401330931,10.7466718849801,10.7558673934902,9.15943372557299,12.098578012521,10.7466718849801,10.7558673934902,9.15943372557299,12.098578012521,-5.80029920448535,-8.67248811070156,-9.58365723024001,4.52012894646312,-3.2531150319457,-6.14659077044142,-7.3397667371564,7.0111059209687,25.7968465428696,11.9735544414317,9.91487745127024,73.900398089263,34.2073337795753,19.5510910973987,15.5770086988177,83.4016776504834
omnipower,1,Sine,3150,8,13.1008284629316,15.2459185308226,2.89619089981599,23.8783466462994,13.132295377886,15.6911115742328,0.579472433132677,16.6287437496208,14.0865401187858,14.3500738073955,12.6795766424137,15.3410395956951,14.0865401187858,14.3500738073955,12.6795766424137,15.3410395956951,-3.85036356786655,-4.34475236970777,-9.30880068052433,1.96683939190622,-1.43366503082763,-1.76995886495795,-6.8560529019186,4.31797062840638,33.439411237756,29.0430556878839,10.4946709326007,61.1324119096118,43.7938017199068,41.7639989263144,17.0984701594245,72.9926456655884
omnipower,1,Sine,4000,8,11.5861672556608,3.08491891501488,0.577746720523071,27.6999972033473,15.2162061927524,17.6063151542332,0.619531958374176,19.9547758264793,15.5905223961001,16.4971742939432,8.97864544351636,17.6414490031612,15.5905223961001,16.4971742939432,8.97864544351636,17.6414490031612,-2.67963673866973,-1.52733422940349,-9.17743618775035,4.73176693508766,-0.190609575903866,0.241156770573129,-7.31272050560783,7.87163071720542,38.8475517844448,41.6199645771067,10.7822112470421,74.8293132026283,49.0521916028376,51.2727535340267,15.6590812349844,85.9664951460295
omnipower,1,Sine,5000,8,15.9019504009477,13.417978669992,2.56954318171388,32.6349103761711,16.3926820196622,19.5533626127501,0.60383431260833,23.1457472584658,16.8931551741085,18.3928610849074,10.2019090902142,20.6848990171326,16.8931551741085,18.3928610849074,10.2019090902142,20.6848990171326,-3.25452959964448,-5.38658330572142,-9.10526663592798,6.32427724666136,-1.26426826687085,-2.98858908329125,-6.8660666901091,8.25119893124942,35.5986357650607,22.44216938716,10.94311216517,81.095364593485,43.0196432830018,33.4499629042011,17.0658110488472,86.9881199382913
