Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
MLS;1;2;16000;0.050695298;0.06140707;NaN;NaN;NaN;9.545629771;14.23097663;0.900066392;0.963624403
MLS;1;2;20000;0.04325149;0.077288084;NaN;NaN;NaN;10.68219265;13.87469689;0.921265422;0.960636875
MLS;1;3;50;NaN;NaN;NaN;NaN;NaN;-7.910231644;-5.655591083;0.139266191;0.21378693
MLS;1;3;63;NaN;NaN;NaN;NaN;NaN;-7.339916852;-4.02530255;0.155765542;0.283562153
MLS;1;3;80;NaN;NaN;NaN;NaN;NaN;-5.57340556;-4.287147901;0.216984927;0.271474922
MLS;1;3;100;NaN;NaN;NaN;NaN;NaN;-15.10650098;-10.5263606;0.029933093;0.081376928
MLS;1;3;125;NaN;NaN;NaN;NaN;NaN;-1.608180611;-0.891355713;0.408469193;0.448868804
MLS;1;3;160;2.858568732;NaN;NaN;NaN;NaN;-4.42999941;-2.05153544;0.265018623;0.384052258
MLS;1;3;200;NaN;2.754757011;NaN;NaN;NaN;-10.99878334;-3.080481968;0.073606657;0.329751945
MLS;1;3;250;0.194423781;NaN;NaN;NaN;NaN;-1.44373626;0.497549402;0.417648862;0.52860996
MLS;1;3;315;NaN;NaN;NaN;NaN;NaN;0.306855719;6.800497877;0.51765669;0.827194405
MLS;1;3;400;NaN;0.06666029;NaN;NaN;NaN;0.317335121;4.511694439;0.518259155;0.738629217
MLS;1;3;500;NaN;0.101899794;0.239408875;NaN;0.718226624;5.469848879;9.872661175;0.77893645;0.906638457
MLS;1;3;630;0.080950948;0.136279731;0.264695746;NaN;0.794087237;7.036390234;9.949317001;0.834821156;0.908121815
MLS;1;3;800;0.119711515;0.116671361;NaN;NaN;NaN;4.568088101;6.647384005;0.741128295;0.822096531
MLS;1;3;1000;0.120368827;0.115119702;0.27147108;NaN;0.814413241;2.876312994;5.17876296;0.659775861;0.767179716
MLS;1;3;1250;0.137680421;0.1679768;NaN;NaN;NaN;3.452607021;5.536606842;0.688902235;0.781572
MLS;1;3;1600;0.097138452;0.093397644;0.25824603;NaN;0.774738091;3.209398922;7.385603561;0.676775266;0.84561283
MLS;1;3;2000;0.109438992;0.150974891;NaN;NaN;NaN;2.8118126;6.882480713;0.656434193;0.829876147
MLS;1;3;2500;0.117326222;0.133669203;NaN;NaN;NaN;2.207648424;6.371926183;0.624414867;0.812629938
MLS;1;3;3150;0.132510921;0.111697126;0.262135075;NaN;0.786405226;0.902441107;4.35595868;0.551762567;0.731647328
MLS;1;3;4000;0.115159894;0.119069866;0.274909049;NaN;0.824727147;1.554653407;5.618655336;0.588549467;0.784780091
MLS;1;3;5000;0.113115677;0.102431098;0.262620485;NaN;0.787861455;1.172158495;5.15406312;0.567068224;0.766162327
MLS;1;3;6300;0.114773186;0.110768292;NaN;NaN;NaN;1.930335589;5.634144978;0.6093251;0.785381883
MLS;1;3;8000;0.097764758;NaN;NaN;NaN;NaN;2.979611206;7.472794844;0.665094523;0.848215709
MLS;1;3;10000;0.095264803;NaN;NaN;NaN;NaN;4.62587988;8.232533121;0.743673144;0.869393948
MLS;1;3;12500;NaN;3.283878659;NaN;NaN;NaN;3.561147242;5.976996564;0.69423304;0.798388754
