Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
Sweep;1;2;12500;0.056139566;0.064811164;NaN;NaN;NaN;8.160849265;13.27181921;0.86750829;0.955038681
Sweep;1;2;16000;NaN;NaN;NaN;NaN;NaN;4.627312005;6.02940326;0.743735999;0.80032413
Sweep;1;2;20000;5.900483731;NaN;NaN;NaN;NaN;-0.656267909;-0.08862954;0.462293905;0.494898251
Sweep;1;3;50;NaN;NaN;NaN;NaN;NaN;-18.64731694;-14.80605826;0.013470337;0.032008528
Sweep;1;3;63;NaN;NaN;NaN;NaN;NaN;-10.68001099;-8.378095138;0.078771024;0.126847162
Sweep;1;3;80;NaN;NaN;NaN;NaN;NaN;-3.476960935;-3.286108443;0.309897222;0.319373066
Sweep;1;3;100;NaN;NaN;NaN;NaN;NaN;-7.777626863;-2.5243845;0.142966733;0.358642486
Sweep;1;3;125;NaN;NaN;NaN;NaN;NaN;-1.213054108;1.185379978;0.430621468;0.567815467
Sweep;1;3;160;0.096598689;NaN;NaN;NaN;NaN;3.733715656;7.550011168;0.702602109;0.850490629
Sweep;1;3;200;NaN;4.911660858;NaN;NaN;NaN;1.956315876;4.35915522;0.610748212;0.731791816
Sweep;1;3;250;0.108250291;NaN;NaN;NaN;NaN;3.573718872;6.150093389;0.694847168;0.804728073
Sweep;1;3;315;0.08292498;0.096846183;NaN;NaN;NaN;2.551729493;8.653047894;0.64280451;0.880000818
Sweep;1;3;400;0.098222174;NaN;NaN;NaN;NaN;2.808141578;6.954022606;0.656243532;0.83218923
Sweep;1;3;500;0.083282005;0.114948582;0.226987652;NaN;0.680962956;4.672396503;8.12101107;0.745709548;0.866450398
Sweep;1;3;630;0.10591142;0.126033894;0.251948596;NaN;0.755845788;5.34774531;7.559283094;0.774057193;0.850761897
Sweep;1;3;800;NaN;0.134014624;NaN;NaN;NaN;5.290299667;7.977574174;0.771735444;0.862582177
Sweep;1;3;1000;0.10303666;0.130840928;0.270284566;NaN;0.810853699;4.169622099;8.483331689;0.723140018;0.875812478
Sweep;1;3;1250;0.106190401;0.11852968;0.267714802;NaN;0.803144405;4.284784083;7.407118341;0.728417418;0.846258471
Sweep;1;3;1600;0.100893007;0.114648861;0.234741602;NaN;0.704224807;3.752365423;7.171584742;0.703498626;0.839069158
Sweep;1;3;2000;0.129942599;0.110171753;0.23341112;NaN;0.70023336;2.902003159;4.92398629;0.661102439;0.756537604
Sweep;1;3;2500;0.120492997;0.120712259;0.252784612;NaN;0.758353835;1.073717304;5.120139576;0.561495219;0.764759985
Sweep;1;3;3150;0.118495565;0.114664329;0.246097095;NaN;0.738291285;1.959201482;5.507632831;0.61090616;0.780430919
Sweep;1;3;4000;0.10724621;0.1413266;0.255788685;NaN;0.767366055;1.083050652;6.019575431;0.562024293;0.799962254
Sweep;1;3;5000;0.104999625;0.107702287;0.252971357;NaN;0.758914072;2.086757589;6.10827231;0.617864446;0.803210419
Sweep;1;3;6300;0.103423004;0.103522536;0.260308584;NaN;0.780925751;3.099594888;6.967830016;0.671219996;0.832632748
