Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
MLS,1,1,2500,NaN,NaN,NaN,NaN,NaN,-2.20190445635655,0.210398416703692,0.375895360490884,0.512109138176743
MLS,1,1,3150,NaN,NaN,NaN,NaN,NaN,-1.18963172087934,2.21375077057901,0.43194430144338,0.62474433906726
MLS,1,1,4000,NaN,NaN,NaN,NaN,NaN,-0.538291625877153,2.02866130101898,0.469053051995892,0.614701050346589
MLS,1,1,5000,NaN,NaN,NaN,NaN,NaN,-2.58788072782577,0.354163009947642,0.355286492484642,0.520375970827999
MLS,1,1,6300,NaN,NaN,NaN,NaN,NaN,-1.82023445918501,-0.193797777837943,0.396726274991422,0.488845953968993
MLS,1,1,8000,NaN,NaN,NaN,NaN,NaN,-0.0536611035667664,1.87228470112534,0.496911057870022,0.606138571885579
MLS,1,1,10000,NaN,NaN,NaN,NaN,NaN,-4.27528942109521,-3.03669949077768,0.272015289673775,0.331983878563913
MLS,1,1,12500,NaN,NaN,NaN,NaN,NaN,-8.3909300849653,-7.26327578094451,0.126520196876397,0.158100325331019
MLS,1,1,16000,NaN,NaN,NaN,NaN,NaN,-24.1723915413116,-7.16328964401401,0.00381155635415289,0.161188922698434
MLS,1,1,20000,NaN,NaN,NaN,NaN,NaN,-23.1317530345987,-7.61287372900082,0.00483858334498125,0.147678151736719
MLS,1,2,50,NaN,NaN,NaN,NaN,NaN,-3.94631189269603,-1.99103447269514,0.287271685750052,0.387352967250072
MLS,1,2,63,NaN,NaN,NaN,NaN,NaN,-8.29862578917544,-5.6944875865885,0.128887724113487,0.21228540382335
MLS,1,2,80,NaN,NaN,NaN,NaN,NaN,-8.37103463904016,-4.35669743503423,0.12702733355641,0.268319274577202
MLS,1,2,100,NaN,NaN,NaN,NaN,NaN,-6.4844237696415,-5.95340267816744,0.1834578263551,0.202487132834824
MLS,1,2,125,NaN,NaN,NaN,NaN,NaN,1.3598020864815,3.23953409538916,0.577643219221159,0.678291284212606
MLS,1,2,160,NaN,NaN,NaN,NaN,NaN,-8.00661149422805,-7.36835572303116,0.136627212176864,0.154906363624269
MLS,1,2,200,NaN,NaN,NaN,NaN,NaN,-10.7318817100505,-9.08731451631975,0.0779086662139801,0.109834619188573
MLS,1,2,250,NaN,NaN,NaN,NaN,NaN,-4.54226366328446,-3.55290815604688,0.260014179213023,0.306169816204492
MLS,1,2,315,NaN,NaN,NaN,NaN,NaN,-0.737411360156203,3.71719600030286,0.457652881461545,0.701806686136952
MLS,1,2,400,NaN,NaN,NaN,NaN,NaN,-0.787257166234439,0.0411797493108434,0.454805523597353,0.502370479161998
MLS,1,2,500,NaN,NaN,NaN,NaN,NaN,0.755639553644836,1.86622072196032,0.543388704301427,0.60580518151005
MLS,1,2,630,NaN,NaN,NaN,NaN,NaN,-1.00464863204608,-0.138848945329692,0.442424301509263,0.49200789296007
MLS,1,2,800,NaN,NaN,NaN,NaN,NaN,-1.83425406621903,0.587148278156025,0.395953929233136,0.53374758447559
MLS,1,2,1000,NaN,NaN,NaN,NaN,NaN,2.12096687976538,4.19930547314286,0.619722529263714,0.72450632430721
MLS,1,2,1250,NaN,NaN,NaN,NaN,NaN,1.82796014311,3.98162012753731,0.603699399971353,0.714390025977438
MLS,1,2,1600,NaN,NaN,NaN,NaN,NaN,-3.40458046954382,-1.90565175194631,0.313472719950296,0.392028722371171
MLS,1,2,2000,NaN,NaN,NaN,NaN,NaN,0.56707446937179,1.55713296335204,0.532597129927852,0.588687717571344
MLS,1,2,2500,NaN,NaN,NaN,NaN,NaN,0.157437228281816,1.83332770239981,0.509061823008953,0.603995052978151
MLS,1,2,3150,NaN,NaN,NaN,NaN,NaN,-0.420836193737641,1.73788805621981,0.475793659489608,0.598726945270848
MLS,1,2,4000,NaN,NaN,NaN,NaN,NaN,0.508564141716389,3.22947716648842,0.529241897485576,0.677785763119686
MLS,1,2,5000,NaN,NaN,NaN,NaN,NaN,-2.10392197804029,-0.952350887752485,0.381202832665029,0.445396907972082
MLS,1,2,6300,NaN,NaN,NaN,NaN,NaN,-2.46871032297765,-0.504651249619139,0.361596504720351,0.470982582173903
MLS,1,2,8000,NaN,NaN,NaN,NaN,NaN,0.0581937271053297,1.88876777873343,0.503349850091675,0.607044291827244
MLS,1,2,10000,NaN,NaN,NaN,NaN,NaN,-0.2650266020149,0.726057752540921,0.484748575162606,0.541698168978561
